,MSE,RMSE,MAE,R²,MAPE
AAPL,5648.117459035362,75.15395837236628,65.73813035724316,-923.1521303685248,28.575799501427447
AMC,566.0001509104319,23.790757678359718,22.350831980388374,-63559.599327484546,758.0429117633352
AMZN,105.20327833150297,10.256864936787604,8.921105934576893,-6.660300163266175,3.9504212445054745
CCEP,128.65232613186333,11.342500876432117,10.69144741065285,-41.83970908568504,11.718305799731459
CFLT,532.128400995344,23.067908465991103,22.75732193690654,-1375.135597328082,131.23277064116024
GME,341.19409884409,18.471440085821406,18.429663025966533,-5532.507920934476,81.09972875517441
GOOGL,115.49710799091994,10.746958080820821,9.361199742576977,-9.077039281061143,4.641160199938329
JPM,24.554469181175666,4.955246631720329,4.248105978354037,-1.9652846822817125,1.456910672004485
META,3333.3127663683076,57.734848803545916,55.6064703297428,-14.063776059726413,7.275628764713941
MSFT,110.74080100517365,10.523345523414768,8.487088792578886,-0.4850358455232351,1.654677272680492
NVDA,312.47517458027414,17.676967346812464,15.282151770307683,-43.27028308936551,8.499819906195574
SPY,1255.0450833916395,35.426615466223126,33.649953184032704,-62.06140628592623,5.254965756349022
TSLA,198.4608580449858,14.087613639115242,8.772750252028214,-1.4472201677468801,2.5874330062537343
UNH,753.1591181831751,27.44374460934905,25.081892991510824,-0.5957255768220484,8.886529879386508
^GSPC,4361172.922204154,2088.342146824642,2063.3588983510026,-2191.474603684311,32.12955075744778
overall,310898.19681468804,557.5824574129714,166.88175864407623,0.8776809241463465,75.44012467268186
